CustomerID,Gender,Age,Items Purchased,Category,Purchase Amount,Shipping Type,Profession,Subscription Status,Season,Country
22,Male,25,Sunglasses,Accessories,22,Express,Healthcare,Yes,Winter,United States
23,Female,26,Scarf,Accessories,21,Express,Artist,No,Winter,United States
24,Male,28,Blouse,Clothing,45,Express,Artist,Yes,Winter,United States
25,Female,27,Sweater,Clothing,77,Express,Executive,No,Winter,United States
26,Male,29,Jeans,Clothing,50,Express,Artist,Yes,Winter,United States
27,Female,21,Sandals,Footwear,25,Express,Healthcare,No,Winter,United States
28,Male,24,Blouse,Clothing,15,Express,Artist,Yes,Winter,United States
29,Female,25,Sneakers,Footwear,69,Express,Artist,No,Winter,United States
30,Female,26,Shirt,Clothing,85,Express,Artist,Yes,Winter,United States
31,Male,23,Shorts,Clothing,12,Express,Artist,No,Winter,United States
32,Female,25,Coat,Outerwear,100,Express,Doctor,Yes,Winter,United States
33,Male,33,Handbag,Accessories,23,Next Day Air,Healthcare,No,Winter,United States
34,Male,33,Sunglasses,Accessories,14,Next Day Air,Homemaker,Yes,Winter,United States
35,Female,36,Scarf,Accessories,25,Next Day Air,Lawyer,No,Winter,United States
36,Female,25,Blouse,Clothing,41,Next Day Air,Healthcare,Yes,Winter,United States
37,Female,36,Sweater,Clothing,22,Next Day Air,Doctor,No,Winter,United States
38,Female,39,Jeans,Clothing,63,Next Day Air,Healthcare,Yes,Winter,United States
39,Female,38,Sandals,Footwear,55,Next Day Air,Artist,No,Winter,United States
40,Female,22,Blouse,Clothing,98,Next Day Air,Artist,Yes,Winter,United States
41,Female,22,Sneakers,Footwear,99,Next Day Air,Artist,No,,United States
42,Male,22,Shirt,Clothing,65,Next Day Air,Healthcare,Yes,Winter,United States
43,Male,22,Shorts,Clothing,35,Next Day Air,Artist,No,Winter,United States
44,Female,22,Coat,Outerwear,85,Next Day Air,Artist,Yes,Winter,United States
45,Female,22,Handbag,Accessories,96,Next Day Air,Engineer,No,Winter,United States
46,Female,22,Sunglasses,Accessories,74,Next Day Air,Lawyer,Yes,Winter,United States
47,Female,22,Scarf,Accessories,52,Next Day Air,Artist,No,Winter,United States
48,Female,22,Blouse,Clothing,22,Next Day Air,Healthcare,Yes,Winter,United States
49,Female,22,Sweater,Clothing,21,Next Day Air,Healthcare,No,Winter,United States
50,Female,22,Jeans,Clothing,45,Next Day Air,Engineer,Yes,Winter,United States
51,Female,22,Sandals,Footwear,77,Next Day Air,Artist,No,Winter,United States
52,Male,22,Blouse,Clothing,50,Next Day Air,Artist,Yes,Winter,United States
53,Female,22,Sneakers,Footwear,25,Next Day Air,Artist,No,Winter,United States
54,Male,22,Shirt,Clothing,15,Next Day Air,Entertainment,Yes,Winter,United States
55,Female,22,Shorts,Clothing,69,Next Day Air,Marketing,No,Winter,United States
56,Male,22,Coat,Outerwear,85,Next Day Air,Artist,Yes,Winter,United States
57,Female,22,Handbag,Accessories,12,Next Day Air,Healthcare,No,Winter,United States
58,Male,22,Sunglasses,Accessories,100,Next Day Air,Doctor,Yes,Winter,United States
59,Female,22,Scarf,Accessories,23,Next Day Air,Artist,No,Winter,United States
59,Female,22,Blouse,Clothing,14,Next Day Air,Artist,Yes,Winter,United States
60,Male,22,Sweater,Clothing,25,Next Day Air,Lawyer,No,Winter,United States
61,Male,22,Jeans,Clothing,41,Next Day Air,Artist,Yes,Winter,United States
62,Male,22,Sandals,Footwear,22,Next Day Air,Artist,No,Winter,United States
63,Female,22,Blouse,Clothing,63,Next Day Air,Lawyer,Yes,Winter,United States
64,Female,22,Sneakers,Footwear,55,Next Day Air,Lawyer,No,Winter,United States
65,Male,22,Shirt,Clothing,98,Next Day Air,Lawyer,Yes,Winter,United States
66,Male,22,Shorts,Clothing,99,Next Day Air,Entertainment,No,Winter,United States
67,Female,22,Coat,Outerwear,65,Next Day Air,Doctor,Yes,Winter,United States
68,Female,22,Handbag,Accessories,35,Next Day Air,Artist,No,Winter,United States
69,Male,22,Sunglasses,Accessories,85,Next Day Air,Artist,Yes,Winter,United States
70,Female,22,Scarf,Accessories,96,Next Day Air,Homemaker,No,Winter,United States
71,Male,22,Blouse,Clothing,74,Next Day Air,Healthcare,Yes,Winter,United States
72,Female,22,Sweater,Clothing,52,Next Day Air,Entertainment,No,Winter,United States
73,Female,22,Jeans,Clothing,22,Next Day Air,Artist,Yes,Winter,United States
74,Female,22,Sandals,Footwear,21,Next Day Air,Healthcare,No,Winter,United States
75,Male,22,Blouse,Clothing,45,Next Day Air,Artist,Yes,Winter,United States
76,Male,22,Sneakers,Footwear,77,Next Day Air,Homemaker,No,Winter,United States
77,Female,22,Shirt,Clothing,50,Next Day Air,Doctor,Yes,Winter,United States
78,Male,22,Shorts,Clothing,25,Next Day Air,Artist,No,Winter,United States
79,Female,22,Coat,Outerwear,15,Next Day Air,Engineer,Yes,Winter,United States
80,Female,22,Handbag,Accessories,69,Next Day Air,,No,Winter,United States
81,Male,22,Sunglasses,Accessories,85,Next Day Air,Healthcare,Yes,Winter,United States
82,Male,22,Scarf,Accessories,12,Next Day Air,Healthcare,No,Winter,United States
83,Male,22,Blouse,Clothing,100,Next Day Air,Artist,Yes,Winter,United States
84,Female,22,Sweater,Clothing,23,Next Day Air,Entertainment,No,Winter,United States
85,Female,22,Jeans,Clothing,14,Next Day Air,Marketing,Yes,Winter,United States
86,Male,22,Sandals,Footwear,25,Next Day Air,Healthcare,No,Winter,United States
87,Female,22,Blouse,Clothing,41,Next Day Air,Artist,Yes,Winter,United States
88,Female,22,Sneakers,Footwear,22,Next Day Air,Artist,No,Winter,United States
89,Female,22,Shirt,Clothing,63,Next Day Air,Entertainment,Yes,Winter,France
89,Female,22,Shorts,Clothing,55,Next Day Air,Entertainment,No,Winter,France
90,Female,22,Coat,Outerwear,98,Next Day Air,Doctor,Yes,,France
91,Female,22,Handbag,Accessories,99,Next Day Air,Entertainment,No,,France
92,Male,22,Sunglasses,Accessories,65,Next Day Air,Artist,Yes,,France
93,Male,22,Scarf,Accessories,35,Next Day Air,Artist,No,,France
94,Female,22,Blouse,Clothing,85,Next Day Air,Entertainment,Yes,,France
95,Female,22,Sweater,Clothing,96,Next Day Air,Artist,No,,Brazil
96,Male,22,Jeans,Clothing,74,Next Day Air,Artist,Yes,,Brazil
97,Female,22,Sandals,Footwear,52,Next Day Air,Artist,No,,Brazil
98,Female,22,Blouse,Clothing,22,Next Day Air,Artist,Yes,Winter,Brazil
99,Male,22,Sneakers,Footwear,21,Next Day Air,Doctor,No,Winter,Brazil
100,Male,22,Shirt,Clothing,45,Next Day Air,Engineer,Yes,Winter,Brazil
101,Female,22,Shorts,Clothing,77,Next Day Air,Artist,No,Winter,France
102,Female,22,Coat,Outerwear,50,Next Day Air,Executive,Yes,Winter,France
103,Male,22,Handbag,Accessories,25,Next Day Air,Artist,No,Winter,France
104,Male,22,Sunglasses,Accessories,15,Next Day Air,Executive,Yes,Winter,France
105,Male,22,Scarf,Accessories,69,Next Day Air,Healthcare,No,Winter,France
106,Female,22,Blouse,Clothing,85,Next Day Air,Doctor,Yes,Winter,France
107,Female,22,Sweater,Clothing,12,Next Day Air,Homemaker,No,Winter,France
108,Male,22,Jeans,Clothing,100,Next Day Air,Lawyer,Yes,Winter,France
109,Male,22,Sandals,Footwear,23,Next Day Air,Healthcare,No,Winter,France
110,Male,22,Blouse,Clothing,14,Next Day Air,Healthcare,Yes,Winter,France
111,Male,22,Sneakers,Footwear,25,Next Day Air,Entertainment,No,Winter,France
112,Female,22,Shirt,Clothing,41,Next Day Air,Artist,Yes,Winter,France
113,Female,22,Shorts,Clothing,22,Next Day Air,Doctor,No,Winter,France
114,Male,22,Coat,Outerwear,63,Next Day Air,Artist,Yes,Winter,France
115,Female,22,Handbag,Accessories,55,Next Day Air,Executive,No,Winter,France
116,Female,22,Sunglasses,Accessories,98,Next Day Air,Executive,Yes,Winter,France
117,Female,22,Scarf,Accessories,99,Next Day Air,Lawyer,No,Winter,France
118,Female,22,Blouse,Clothing,65,Next Day Air,Artist,Yes,Winter,Brazil
119,Female,22,Sweater,Clothing,35,Next Day Air,,No,Winter,Brazil
120,Female,22,Jeans,Clothing,85,Next Day Air,Artist,Yes,Winter,Brazil
121,Male,22,Sandals,Footwear,96,Next Day Air,Executive,No,Winter,Brazil
122,Female,22,Blouse,Clothing,74,Next Day Air,Executive,Yes,Winter,Brazil
123,Female,22,Sneakers,Footwear,52,Next Day Air,Engineer,No,Winter,Brazil
124,Male,22,Shirt,Clothing,22,Next Day Air,Healthcare,Yes,Winter,Brazil
125,Female,22,Shorts,Clothing,21,Next Day Air,Entertainment,No,Winter,Brazil
125,Female,22,Coat,Outerwear,45,Next Day Air,Entertainment,Yes,Winter,Brazil
126,Female,22,Handbag,Accessories,77,Next Day Air,Marketing,No,Winter,Brazil
127,Male,22,Sunglasses,Accessories,50,Next Day Air,Engineer,Yes,Winter,Brazil
128,Male,22,Scarf,Accessories,25,Next Day Air,Artist,No,,Brazil
129,Male,22,Scarf,Accessories,15,Next Day Air,Engineer,Yes,Winter,Brazil
130,Male,22,Blouse,Clothing,69,Next Day Air,Entertainment,No,Winter,Brazil
131,Male,22,Sweater,Footwear,85,Next Day Air,Executive,Yes,Winter,Brazil
132,Male,22,Jeans,Clothing,12,Next Day Air,Lawyer,No,Winter,Brazil
133,Female,22,Sandals,Clothing,100,Next Day Air,Healthcare,Yes,Winter,Brazil
134,Female,22,Blouse,Outerwear,23,Next Day Air,Artist,No,Winter,Brazil
134,Female,22,Sneakers,Accessories,14,Next Day Air,Artist,Yes,Winter,Brazil
135,Male,22,Shirt,Accessories,25,Next Day Air,Engineer,No,Winter,Brazil
136,Female,22,Shorts,Accessories,41,Next Day Air,Executive,Yes,Winter,Brazil
137,Female,22,Coat,Outerwear,22,Next Day Air,Artist,No,Winter,Brazil
138,Male,22,Handbag,Accessories,63,Next Day Air,Artist,Yes,Winter,Brazil
139,Male,22,Sunglasses,Accessories,55,Free Shipping,Marketing,No,Winter,Brazil
140,Female,22,Scarf,Accessories,98,Free Shipping,Artist,Yes,Winter,Brazil
141,Female,22,Scarf,Accessories,99,Free Shipping,Engineer,No,Winter,Brazil
142,Male,22,Scarf,Accessories,65,Free Shipping,Artist,Yes,Winter,Brazil
143,Female,22,Scarf,Accessories,35,Free Shipping,Doctor,No,Winter,Brazil
144,Female,22,Scarf,Accessories,85,Free Shipping,Lawyer,Yes,Winter,Brazil
145,Male,22,Scarf,Accessories,96,Free Shipping,Engineer,No,Winter,United States
146,Male,22,Scarf,Accessories,74,Free Shipping,Marketing,Yes,Winter,United States
147,Male,22,Scarf,Accessories,52,Free Shipping,Engineer,No,Winter,United States
148,Female,22,Scarf,Accessories,22,Free Shipping,Lawyer,Yes,Winter,United States
149,Female,22,Scarf,Accessories,21,Free Shipping,Healthcare,No,Winter,United States
150,Male,22,Scarf,Accessories,45,Free Shipping,Artist,Yes,Winter,United States
151,Male,22,Scarf,Accessories,77,Free Shipping,Lawyer,No,Winter,United States
152,Male,22,Scarf,Accessories,50,Free Shipping,Engineer,Yes,Winter,United States
153,Female,22,Scarf,Accessories,25,Free Shipping,Engineer,No,Winter,United States
154,Female,22,Scarf,Accessories,15,Free Shipping,Artist,Yes,Winter,United States
155,Female,22,Scarf,Accessories,69,Free Shipping,Healthcare,No,Winter,United States
156,Female,22,Scarf,Accessories,85,Free Shipping,Marketing,Yes,Winter,United States
157,Male,22,Sunglasses,Accessories,12,Free Shipping,Executive,No,Winter,United States
158,Female,22,Sunglasses,Accessories,100,Free Shipping,Artist,Yes,Winter,United States
159,Male,22,Sunglasses,Accessories,23,Free Shipping,Lawyer,No,Winter,United States
160,Female,22,Sunglasses,Accessories,14,Free Shipping,Artist,Yes,Winter,United States
161,Female,22,Sunglasses,Accessories,25,Free Shipping,Artist,No,Winter,United States
162,Female,22,Sunglasses,Accessories,41,Free Shipping,Healthcare,Yes,,United States
163,Male,22,Sunglasses,Accessories,22,Free Shipping,Executive,No,,United States
164,Female,22,Sunglasses,Accessories,63,Free Shipping,Healthcare,Yes,,United States
165,Male,22,Sunglasses,Accessories,55,Free Shipping,Doctor,No,,United States
166,Female,22,Sunglasses,Accessories,98,Free Shipping,Artist,Yes,,United States
167,Male,22,Sunglasses,Accessories,99,Free Shipping,Homemaker,No,,United States
168,Female,22,Sunglasses,Accessories,65,Free Shipping,Artist,Yes,,United States
169,Female,22,Sunglasses,Accessories,35,Free Shipping,Artist,No,,United States
170,Male,22,Sunglasses,Accessories,85,Free Shipping,Artist,Yes,,United States
171,Male,22,Sunglasses,Accessories,96,Free Shipping,Artist,No,Winter,United States
172,Male,22,Sunglasses,Accessories,74,Free Shipping,Executive,Yes,Winter,United States
173,Male,22,Sunglasses,Accessories,52,Free Shipping,Lawyer,No,Winter,United States
174,Male,22,Sunglasses,Accessories,22,Free Shipping,Artist,Yes,Winter,United States
175,Female,22,Sunglasses,Accessories,21,Free Shipping,Lawyer,No,Winter,United States
176,Female,22,Sunglasses,Accessories,45,Free Shipping,Artist,Yes,Winter,United States
177,Male,22,Sunglasses,Accessories,77,Free Shipping,Engineer,No,Winter,United States
178,Male,22,Sunglasses,Accessories,50,Free Shipping,Healthcare,Yes,Winter,Turkey
179,Male,22,Handbag,Accessories,25,Free Shipping,Healthcare,No,Winter,Turkey
180,Male,22,Handbag,Accessories,15,Free Shipping,Engineer,Yes,Winter,Turkey
181,Female,22,Handbag,Accessories,69,Free Shipping,Artist,No,Winter,Turkey
182,Female,22,Handbag,Accessories,85,Free Shipping,Entertainment,Yes,Winter,Turkey
183,Male,22,Handbag,Accessories,12,Free Shipping,Artist,No,Winter,Turkey
184,Female,22,Handbag,Accessories,100,Free Shipping,Artist,Yes,Winter,Turkey
185,Female,22,Handbag,Accessories,23,Free Shipping,Artist,No,Winter,Turkey
186,Male,22,Handbag,Accessories,14,Free Shipping,Artist,Yes,Winter,Turkey
187,Female,22,Handbag,Accessories,25,Free Shipping,Lawyer,No,Winter,Turkey
188,Male,22,Handbag,Accessories,41,Free Shipping,Doctor,Yes,Winter,Turkey
189,Female,22,Handbag,Accessories,22,Free Shipping,Engineer,No,Winter,Turkey
190,Female,22,Handbag,Accessories,63,Free Shipping,Artist,Yes,Winter,Turkey
191,Female,22,Handbag,Accessories,55,Free Shipping,Artist,No,Winter,Brazil
192,Female,22,Handbag,Accessories,98,Free Shipping,Artist,Yes,Winter,Brazil
193,Male,22,Handbag,Accessories,99,Free Shipping,Executive,No,Winter,Brazil
194,Female,22,Handbag,Accessories,65,Free Shipping,Artist,Yes,Winter,Brazil
195,Female,22,Handbag,Accessories,35,Free Shipping,Artist,No,Winter,Brazil
196,Female,22,Handbag,Accessories,85,Free Shipping,Executive,Yes,,Brazil
197,Female,22,Handbag,Accessories,96,Free Shipping,Artist,No,Winter,Brazil
198,Male,22,Coat,Outerwear,74,Free Shipping,Artist,Yes,Winter,Brazil
199,Male,22,Coat,Outerwear,52,Free Shipping,Executive,No,,Brazil
200,Male,22,Coat,Outerwear,22,Free Shipping,Artist,Yes,Winter,Brazil
201,Female,22,Coat,Outerwear,21,Free Shipping,Healthcare,No,,Brazil
202,Male,22,Coat,Outerwear,45,Free Shipping,Healthcare,Yes,Winter,Brazil
203,Female,22,Coat,Outerwear,77,Free Shipping,Engineer,No,Winter,Brazil
204,Female,22,Coat,Outerwear,50,Free Shipping,Healthcare,Yes,Winter,Brazil
205,Female,22,Coat,Outerwear,25,Free Shipping,Entertainment,No,Winter,Brazil
206,Female,22,Coat,Outerwear,15,Free Shipping,Healthcare,Yes,,Brazil
207,Female,22,Coat,Outerwear,69,Free Shipping,Healthcare,No,Winter,Brazil
208,Male,22,Coat,Outerwear,85,Free Shipping,Artist,Yes,Winter,Brazil
209,Female,22,Coat,Outerwear,12,Free Shipping,Doctor,No,Winter,Brazil
210,Female,22,Coat,Outerwear,100,Free Shipping,Engineer,Yes,Winter,Brazil
211,Female,22,Coat,Outerwear,23,Free Shipping,Engineer,No,Winter,Brazil
212,Female,22,Coat,Outerwear,14,Free Shipping,Artist,Yes,Winter,Brazil
213,Male,22,Coat,Outerwear,25,Free Shipping,Marketing,No,Winter,Brazil
214,Male,22,Coat,Outerwear,41,Free Shipping,Lawyer,Yes,,Brazil
215,Male,22,Coat,Outerwear,22,Free Shipping,Doctor,No,,Brazil
216,Female,22,Coat,Outerwear,63,Free Shipping,Healthcare,Yes,Winter,Brazil
217,Male,22,Coat,Outerwear,55,Free Shipping,Doctor,No,Winter,Brazil
218,Female,22,Coat,Outerwear,98,Free Shipping,Doctor,Yes,Winter,Brazil
219,Female,22,Coat,Outerwear,99,Free Shipping,Executive,No,Winter,Brazil
220,Female,22,Coat,Outerwear,65,Free Shipping,,Yes,,Brazil
221,Female,22,Coat,Outerwear,35,Free Shipping,Artist,No,Winter,Brazil
222,Female,22,Coat,Outerwear,85,Free Shipping,Engineer,Yes,Winter,Brazil
223,Male,22,Coat,Outerwear,96,Free Shipping,Artist,No,Winter,Brazil
224,Female,22,Coat,Outerwear,74,Free Shipping,Healthcare,Yes,Winter,Brazil
225,Female,22,Coat,Outerwear,52,Free Shipping,Homemaker,No,Winter,Brazil
226,Female,22,Coat,Outerwear,22,Free Shipping,Engineer,Yes,Winter,Algeria
227,Female,22,Coat,Outerwear,21,Free Shipping,Artist,No,Winter,Algeria
228,Male,22,Coat,Outerwear,45,Free Shipping,Healthcare,Yes,Winter,Algeria
229,Male,22,Coat,Outerwear,77,Express,Marketing,No,Winter,Algeria
230,Male,22,Coat,Outerwear,50,Free Shipping,Healthcare,Yes,Winter,Algeria
231,Female,22,Coat,Outerwear,25,Next Day Air,Lawyer,No,Winter,Algeria
232,Male,22,Coat,Outerwear,15,2-Day Shipping,Healthcare,Yes,Winter,Algeria
233,Female,22,Coat,Outerwear,69,2-Day Shipping,Lawyer,No,Winter,Australia
234,Female,22,Coat,Outerwear,85,2-Day Shipping,Healthcare,Yes,Winter,Australia
235,Female,22,Coat,Outerwear,12,2-Day Shipping,Artist,No,Winter,Australia
236,Female,22,Coat,Outerwear,100,2-Day Shipping,Healthcare,Yes,Winter,Australia
237,Male,22,Coat,Outerwear,23,2-Day Shipping,Healthcare,No,Winter,Australia
238,Male,22,Coat,Outerwear,14,2-Day Shipping,,Yes,Winter,Australia
239,Male,22,Coat,Outerwear,25,2-Day Shipping,Lawyer,No,,Australia
240,Female,22,Coat,Outerwear,41,2-Day Shipping,Artist,Yes,,Australia
241,Male,22,Coat,Outerwear,22,2-Day Shipping,Executive,No,Winter,Australia
242,Female,22,Coat,Outerwear,63,2-Day Shipping,Artist,Yes,Winter,Australia
243,Female,22,Coat,Outerwear,55,2-Day Shipping,Healthcare,No,Winter,Australia
244,Female,22,Coat,Outerwear,98,2-Day Shipping,Artist,Yes,Winter,Australia
245,Female,22,Coat,Outerwear,99,2-Day Shipping,Artist,No,Winter,Australia
246,Female,22,Coat,Outerwear,65,2-Day Shipping,Entertainment,Yes,Winter,Australia
247,Male,23,Coat,Outerwear,35,2-Day Shipping,Doctor,No,Winter,Australia
248,Female,25,Coat,Outerwear,85,2-Day Shipping,Artist,Yes,Winter,Australia
249,Female,46,Coat,Outerwear,96,2-Day Shipping,Artist,No,Winter,Australia
250,Female,28,Coat,Outerwear,74,Express,Engineer,Yes,Winter,Australia
251,Male,24,Coat,Outerwear,52,Express,Engineer,No,Winter,Australia
252,Female,27,Coat,Outerwear,22,Express,Doctor,Yes,Winter,Afghanistan
253,Female,22,Coat,Outerwear,21,Express,Artist,No,Winter,Argentina
254,Female,22,Coat,Outerwear,45,Express,Lawyer,Yes,Winter,Argentina
255,Female,22,Coat,Outerwear,77,Express,Engineer,No,Winter,Argentina
256,Male,22,Coat,Outerwear,50,Express,Lawyer,Yes,Winter,Argentina
257,Male,22,Coat,Outerwear,25,Express,Executive,No,Winter,Argentina
258,Male,22,Coat,Outerwear,15,Express,Homemaker,Yes,Winter,Argentina
259,Female,22,Coat,Outerwear,69,Express,Artist,No,Winter,Argentina
260,Male,22,Coat,Outerwear,85,Express,Executive,Yes,Winter,Argentina
261,Female,22,Coat,Outerwear,12,Express,Artist,No,Winter,Argentina
262,Female,22,Coat,Outerwear,100,Next Day Air,Doctor,Yes,Winter,Argentina
263,Female,22,Coat,Outerwear,23,Next Day Air,Lawyer,No,Winter,Argentina
264,Female,22,Coat,Outerwear,14,Next Day Air,Engineer,Yes,Winter,Turkey
265,Female,22,Coat,Outerwear,25,Next Day Air,Homemaker,No,Winter,Turkey
266,Male,22,Coat,Outerwear,41,Next Day Air,Entertainment,Yes,Winter,Turkey
267,Female,22,Coat,Outerwear,22,Next Day Air,Artist,No,Winter,Turkey
268,Female,22,Coat,Outerwear,63,Next Day Air,Artist,Yes,Winter,Turkey
269,Female,22,Coat,Outerwear,55,Next Day Air,Entertainment,No,Winter,Turkey
270,Female,22,Coat,Outerwear,98,Next Day Air,Artist,Yes,Winter,Turkey
271,Male,22,Coat,Outerwear,99,Next Day Air,Entertainment,No,Winter,Turkey
272,Female,22,Coat,Outerwear,65,Next Day Air,Doctor,Yes,Winter,Afghanistan
273,Female,22,Coat,Outerwear,35,Next Day Air,Entertainment,No,Winter,Afghanistan
274,Female,22,Coat,Outerwear,85,Next Day Air,Artist,Yes,Winter,Afghanistan
275,Female,33,Coat,Outerwear,96,Next Day Air,Artist,No,Winter,Afghanistan
276,Male,33,Coat,Outerwear,74,Next Day Air,Lawyer,Yes,Winter,Afghanistan
277,Male,33,Coat,Outerwear,52,Next Day Air,Executive,No,Winter,Afghanistan
278,Male,33,Coat,Outerwear,22,Next Day Air,Artist,Yes,Winter,Afghanistan
279,Female,33,Coat,Outerwear,21,Next Day Air,Engineer,No,Winter,Pakistan
280,Male,33,Coat,Outerwear,45,Next Day Air,Healthcare,Yes,Winter,Pakistan
281,Female,33,Coat,Outerwear,77,Next Day Air,Executive,No,Winter,Pakistan
282,Female,33,Coat,Outerwear,50,Next Day Air,Marketing,Yes,Winter,Pakistan
283,Female,33,Coat,Outerwear,25,Next Day Air,Artist,No,Winter,Pakistan
284,Female,33,Coat,Outerwear,15,Next Day Air,Artist,Yes,Winter,Pakistan
285,Female,33,Coat,Outerwear,69,Next Day Air,Healthcare,No,Winter,Pakistan
286,Male,33,Coat,Outerwear,85,Next Day Air,Artist,Yes,Winter,Pakistan
287,Female,33,Coat,Outerwear,12,Next Day Air,Entertainment,No,Winter,Pakistan
288,Female,33,Coat,Outerwear,100,Next Day Air,Healthcare,Yes,Winter,Pakistan
289,Female,33,Coat,Outerwear,23,Next Day Air,Marketing,No,Winter,Pakistan
290,Female,33,Coat,Outerwear,14,Next Day Air,Engineer,Yes,Winter,Pakistan
291,Male,33,Coat,Outerwear,25,Next Day Air,Entertainment,No,Winter,Pakistan
292,Female,33,Coat,Outerwear,41,Next Day Air,Doctor,Yes,Winter,Pakistan
293,Male,33,Coat,Outerwear,22,Next Day Air,Artist,No,Winter,Pakistan
294,Female,33,Coat,Outerwear,63,Next Day Air,Engineer,Yes,Winter,Pakistan
295,Female,33,Coat,Outerwear,55,Next Day Air,Entertainment,No,Winter,Afghanistan
296,Female,60,Coat,Outerwear,98,Next Day Air,Executive,Yes,Winter,Afghanistan
297,Female,60,Coat,Outerwear,99,Next Day Air,Engineer,No,Winter,Afghanistan
298,Male,60,Coat,Outerwear,65,Next Day Air,Doctor,Yes,Winter,Afghanistan
299,Male,60,Coat,Outerwear,35,Next Day Air,Artist,No,Winter,Afghanistan
300,Male,60,Coat,Outerwear,85,Next Day Air,Entertainment,Yes,Winter,Afghanistan
301,Male,60,Coat,Outerwear,96,Next Day Air,Entertainment,No,Winter,Afghanistan
302,Male,60,Coat,Outerwear,74,Next Day Air,Healthcare,Yes,Winter,Afghanistan
303,Female,60,Coat,Outerwear,52,Next Day Air,Healthcare,No,Winter,Afghanistan
304,Female,60,Coat,Outerwear,22,Next Day Air,Healthcare,Yes,Winter,Afghanistan
305,Female,60,Coat,Outerwear,21,Next Day Air,Lawyer,No,Winter,Afghanistan
306,Female,60,Coat,Outerwear,45,Next Day Air,Marketing,Yes,Winter,Afghanistan
307,Female,60,Coat,Outerwear,77,Next Day Air,Artist,No,Winter,Afghanistan
308,Female,60,Coat,Outerwear,50,Next Day Air,Doctor,Yes,Winter,Afghanistan
309,Male,60,Coat,Outerwear,25,Next Day Air,Engineer,No,Winter,Afghanistan
310,Female,55,Coat,Outerwear,15,Next Day Air,Engineer,Yes,Winter,Afghanistan
311,Male,55,Coat,Outerwear,69,Next Day Air,Executive,No,Winter,Afghanistan
312,Female,55,Coat,Outerwear,85,Next Day Air,Engineer,Yes,Winter,Afghanistan
313,Female,55,Coat,Outerwear,12,Next Day Air,Lawyer,No,Winter,Afghanistan
314,Female,55,Coat,Outerwear,100,Next Day Air,Executive,Yes,Winter,Afghanistan
315,Male,55,Coat,Outerwear,23,Next Day Air,Doctor,No,Winter,Afghanistan
316,Male,55,Coat,Outerwear,14,Next Day Air,Lawyer,Yes,Winter,Afghanistan
317,Female,55,Coat,Outerwear,25,Next Day Air,Homemaker,No,Winter,Afghanistan
318,Male,55,Coat,Outerwear,41,Next Day Air,Artist,Yes,Winter,Afghanistan
319,Male,55,Coat,Outerwear,22,Next Day Air,Marketing,No,Winter,Afghanistan
320,Female,55,Coat,Outerwear,63,Next Day Air,Healthcare,Yes,Winter,Afghanistan
321,Male,55,Coat,Outerwear,55,Next Day Air,Engineer,No,Winter,Afghanistan
322,Male,55,Coat,Outerwear,98,Next Day Air,Lawyer,Yes,Winter,Afghanistan
323,Female,55,Coat,Outerwear,99,Next Day Air,Healthcare,No,Winter,Afghanistan
324,Male,55,Coat,Outerwear,65,Next Day Air,Doctor,Yes,Winter,Afghanistan
325,Female,55,Coat,Outerwear,35,Next Day Air,Artist,No,Winter,Afghanistan
